round,steps,loss,total_rewards,step
317,,"tensor(13.8123, grad_fn=<MseLossBackward>)",-1487.5999999999951,10.0
318,,"tensor(5.5046, grad_fn=<MseLossBackward>)",-10.2,5.0
319,,"tensor(2.6585, grad_fn=<MseLossBackward>)",4.6000000000000005,16.0
320,,"tensor(6.7010, grad_fn=<MseLossBackward>)",-10.2,5.0
321,,"tensor(5.3621, grad_fn=<MseLossBackward>)",-8.4,5.0
322,,"tensor(2.4882, grad_fn=<MseLossBackward>)",-8.4,5.0
323,,"tensor(1.4869, grad_fn=<MseLossBackward>)",-10.2,5.0
324,,"tensor(3.6347, grad_fn=<MseLossBackward>)",-8.4,5.0
325,,"tensor(4.1500, grad_fn=<MseLossBackward>)",-8.0,5.0
326,,"tensor(3.7792, grad_fn=<MseLossBackward>)",-8.4,5.0
327,,"tensor(6.2504, grad_fn=<MseLossBackward>)",-8.4,5.0
328,,"tensor(1.4667, grad_fn=<MseLossBackward>)",-10.2,6.0
329,,"tensor(2.6984, grad_fn=<MseLossBackward>)",-3.4000000000000004,11.0
330,,"tensor(3.2897, grad_fn=<MseLossBackward>)",-12.0,5.0
331,,"tensor(4.6562, grad_fn=<MseLossBackward>)",-8.4,5.0
332,,"tensor(2.2774, grad_fn=<MseLossBackward>)",-8.4,5.0
333,,"tensor(3.0859, grad_fn=<MseLossBackward>)",1.3999999999999995,16.0
334,,"tensor(4.2673, grad_fn=<MseLossBackward>)",-5.999999999999999,13.0
335,,"tensor(10.5082, grad_fn=<MseLossBackward>)",-8.4,5.0
336,,"tensor(1.4374, grad_fn=<MseLossBackward>)",-11.599999999999998,10.0
337,,"tensor(2.4195, grad_fn=<MseLossBackward>)",-2.999999999999999,12.0
338,,"tensor(2.5283, grad_fn=<MseLossBackward>)",-8.4,5.0
339,,"tensor(1.9438, grad_fn=<MseLossBackward>)",14.99999999999999,32.0
340,,"tensor(1.6649, grad_fn=<MseLossBackward>)",-8.4,5.0
341,,"tensor(1.6303, grad_fn=<MseLossBackward>)",0.20000000000000018,17.0
342,,"tensor(4.1500, grad_fn=<MseLossBackward>)",19.19999999999999,38.0
343,,"tensor(2.1107, grad_fn=<MseLossBackward>)",-9.8,5.0
344,,"tensor(1.3416, grad_fn=<MseLossBackward>)",-12.0,5.0
345,,"tensor(1.6190, grad_fn=<MseLossBackward>)",-8.0,5.0
346,,"tensor(3.5261, grad_fn=<MseLossBackward>)",-8.4,5.0
347,,"tensor(1.1777, grad_fn=<MseLossBackward>)",-10.2,5.0
348,,"tensor(3.3797, grad_fn=<MseLossBackward>)",-8.4,5.0
349,,"tensor(1.6905, grad_fn=<MseLossBackward>)",-9.8,5.0
350,,"tensor(1.5979, grad_fn=<MseLossBackward>)",-8.4,5.0
351,,"tensor(2.2929, grad_fn=<MseLossBackward>)",-8.4,5.0
352,,"tensor(1.9526, grad_fn=<MseLossBackward>)",-8.4,5.0
353,,"tensor(2.1901, grad_fn=<MseLossBackward>)",-8.4,5.0
354,,"tensor(2.3270, grad_fn=<MseLossBackward>)",-12.0,5.0
355,,"tensor(1.0648, grad_fn=<MseLossBackward>)",-7.2,5.0
356,,"tensor(2.4392, grad_fn=<MseLossBackward>)",-9.8,5.0
357,,"tensor(3.3011, grad_fn=<MseLossBackward>)",-13.2,6.0
358,,"tensor(1.8139, grad_fn=<MseLossBackward>)",-10.2,6.0
359,,"tensor(1.9258, grad_fn=<MseLossBackward>)",-8.4,5.0
360,,"tensor(2.1111, grad_fn=<MseLossBackward>)",-8.4,5.0
361,,"tensor(1.8290, grad_fn=<MseLossBackward>)",28.99999999999999,46.0
362,,"tensor(3.5491, grad_fn=<MseLossBackward>)",-10.2,5.0
363,,"tensor(2.5013, grad_fn=<MseLossBackward>)",-8.4,5.0
364,,"tensor(2.5900, grad_fn=<MseLossBackward>)",-7.2,5.0
365,,"tensor(3.6899, grad_fn=<MseLossBackward>)",-8.4,5.0
366,,"tensor(0.4441, grad_fn=<MseLossBackward>)",-8.4,5.0
367,,"tensor(2.0704, grad_fn=<MseLossBackward>)",-13.8,5.0
368,,"tensor(2.8097, grad_fn=<MseLossBackward>)",-10.2,5.0
369,,"tensor(1.8506, grad_fn=<MseLossBackward>)",-8.4,5.0
370,,"tensor(1.8555, grad_fn=<MseLossBackward>)",-8.4,5.0
371,,"tensor(1.8308, grad_fn=<MseLossBackward>)",-12.0,5.0
372,,"tensor(2.5458, grad_fn=<MseLossBackward>)",-8.4,5.0
373,,"tensor(1.2046, grad_fn=<MseLossBackward>)",-8.4,5.0
374,,"tensor(2.9569, grad_fn=<MseLossBackward>)",-10.2,6.0
375,,"tensor(4.0077, grad_fn=<MseLossBackward>)",-8.4,5.0
376,,"tensor(1.4118, grad_fn=<MseLossBackward>)",-8.4,5.0
